place_fips,place_name,full_fips,county_name,coverage_percentage
5323160,Fairwood CDP,53033,King County,100
6600850,Afame CDP,66010,Guam,100
0112544,Catherine CDP,01131,Wilcox County,100
0619794,Downieville CDP,06091,Sierra County,100
0645988,Markleeville CDP,06003,Alpine County,100
0660370,Rexland Acres CDP,06029,Kern County,100
1258727,Port Salerno CDP,12085,Martin County,100
2222722,Eden Isle CDP,22103,St. Tammany Parish,100
2504790,Belchertown CDP,25015,Hampshire County,100
3650100,New City CDP,36087,Rockland County,100
4101650,Aloha CDP,41067,Washington County,100
4510360,Burton CDP,45013,Beaufort County,100
4557175,Pinopolis CDP,45015,Berkeley County,100
4635940,La Plant CDP,46041,Dewey County,100
4752520,New Deal CDP,47165,Sumner County,100
0108272,Bon Secour CDP,01003,Baldwin County,100
0549370,Newhope CDP,05109,Pike County,100
0658940,Pumpkin Center CDP,06029,Kern County,100
0679030,Topaz CDP,06051,Mono County,100
0681708,Valle Vista CDP,06065,Riverside County,100
0879105,Twin Lakes CDP,08065,Lake County,100
0883500,Westcreek CDP,08035,Douglas County,100
1206625,Bithlo CDP,12095,Orange County,100
1275425,Waukeenah CDP,12065,Jefferson County,100
2109964,Brooks CDP,21029,Bullitt County,100
2387810,Yarmouth CDP,23005,Cumberland County,100
3235100,Incline Village CDP,32031,Washoe County,100
3269200,Stateline CDP,32005,Douglas County,100
3456430,Parsippany CDP,34027,Morris County,100
3522580,El Cerro CDP,35061,Valencia County,100
3840740,Jessie CDP,38039,Griggs County,100
3953032,Mount Repose CDP,39025,Clermont County,100
3986660,Wright-Patterson AFB CDP,39057,Greene County,100
5103512,Atkins CDP,51173,Smyth County,100
5120560,Crozet CDP,51003,Albemarle County,100
5355612,Port Gamble Tribal Community CDP,53035,Kitsap County,100
5609235,Boulder CDP,56035,Sublette County,100
0169672,Shelby CDP,01117,Shelby County,100
0640312,La Porte CDP,06063,Plumas County,100
0644399,Lucas Valley-Marinwood CDP,06041,Marin County,100
2101972,Arjay CDP,21013,Bell County,100
3064375,Rosebud CDP,30087,Rosebud County,100
4249848,Mill Run CDP,42013,Blair County,100
4933002,Halchita CDP,49037,San Juan County,100
5103320,Ashburn CDP,51107,Loudoun County,100
5323200,Fall City CDP,53033,King County,100
5601985,Alta CDP,56039,Teton County,100
6650800,Mongmong CDP,66010,Guam,100
0200760,Akiachak CDP,02050,Bethel Census Area,100
0272985,Steele Creek CDP,02090,Fairbanks North Star Borough,100
0969150,Somers CDP,09013,Tolland County,100
3022655,Eagle Creek Colony CDP,30051,Liberty County,100
3653852,Northwest Harbor CDP,36103,Suffolk County,100
4258036,Park Forest Village CDP,42027,Centre County,100
5144048,Lansdowne CDP,51107,Loudoun County,100
5567320,Rib Mountain CDP,55073,Marathon County,100
5588025,Wiota CDP,55065,Lafayette County,100
0405495,Beaver Valley CDP,04007,Gila County,100
1247550,Myrtle Grove CDP,12033,Escambia County,100
2538960,Marshfield Hills CDP,25023,Plymouth County,100
3082675,Zortman CDP,30071,Phillips County,100
3548480,Midway CDP,35005,Chaves County,100
4044775,Lyons Switch CDP,40001,Adair County,100
4130750,Green CDP,41019,Douglas County,100
4218256,Dauberville CDP,42011,Berks County,100
4835324,Hull CDP,48291,Liberty County,100
4959555,Peter CDP,49005,Cache County,100
5337672,Lake Roesiger CDP,53061,Snohomish County,100
5617210,Cora CDP,56035,Sublette County,100
0128816,Gallant CDP,01055,Etowah County,100
0916085,Coleytown CDP,09001,Fairfield County,100
1236100,Kendall CDP,12086,Miami-Dade County,100
1263362,Samsula-Spruce Creek CDP,12127,Volusia County,100
2160654,Philpot CDP,21059,Daviess County,100
2240840,Lafitte CDP,22051,Jefferson Parish,100
2419825,Coral Hills CDP,24033,Prince George's County,100
2446725,Lexington Park CDP,24037,St. Mary's County,100
2502515,Athol CDP,25027,Worcester County,100
2945218,Macks Creek CDP,29029,Camden County,100
3465260,Rutgers University-Livingston Campus CDP,34023,Middlesex County,100
3537875,Lake Sumner CDP,35011,De Baca County,100
3581030,University Park CDP,35013,Doña Ana County,100
4008775,Briggs CDP,40021,Cherokee County,100
4542055,Little Rock CDP,45033,Dillon County,100
4653007,Rapid Valley CDP,46103,Pennington County,100
4717420,Cottontown CDP,47165,Sumner County,100
4833092,Heidelberg CDP,48215,Hidalgo County,100
4954110,Neola CDP,49013,Duchesne County,100
5145008,Leesylvania CDP,51153,Prince William County,100
5634030,Grover CDP,56023,Lincoln County,100
7253678,Miranda comunidad,72145,Vega Baja Municipio,100
0406997,Blue Ridge CDP,04005,Coconino County,100
0629112,Garnet CDP,06065,Riverside County,100
0641782,Litchfield CDP,06035,Lassen County,100
2349800,Norridgewock CDP,23025,Somerset County,100
2977794,Wasola CDP,29153,Ozark County,100
3468370,Somerset CDP,34035,Somerset County,100
3732100,Hollister CDP,37083,Halifax County,100
3732740,Horse Shoe CDP,37089,Henderson County,100
3770580,Wakulla CDP,37155,Robeson County,100
4008650,Brent CDP,40135,Sequoyah County,100
4224664,Fairhope CDP,42051,Fayette County,100
4246240,McKee CDP,42013,Blair County,100
4250672,Montgomeryville CDP,42091,Montgomery County,100
4905380,Beryl Junction CDP,49021,Iron County,100
5318055,Dixie CDP,53071,Walla Walla County,100
6666800,South Gayinero CDP,66010,Guam,100
0152344,Mount Olive CDP,01073,Jefferson County,100
0162952,Putnam CDP,01091,Marengo County,100
0648298,Mi-Wuk Village CDP,06109,Tuolumne County,100
0677308,Sun Village CDP,06037,Los Angeles County,100
0678138,Temescal Valley CDP,06065,Riverside County,100
1335814,Gumlog CDP,13119,Franklin County,100
2124328,Elk Creek CDP,21215,Spencer County,100
3221520,East Valley CDP,32005,Douglas County,100
3427840,Green Knoll CDP,34035,Somerset County,100
3467470,Sicklerville CDP,34007,Camden County,100
3964136,Portage Lakes CDP,39153,Summit County,100
4715120,Clarkrange CDP,47049,Fentress County,100
4822810,Eidson Road CDP,48323,Maverick County,100
4841180,La Moca Ranch CDP,48479,Webb County,100
5324188,Five Corners CDP,53011,Clark County,100
5587000,Whittlesey CDP,55119,Taylor County,100
0112112,Carlton CDP,01025,Clarke County,100
0609324,Butte Valley CDP,06007,Butte County,100
0916960,Conning Towers-Nautilus Park CDP,09011,New London County,100
2004925,Beaumont CDP,20015,Butler County,100
2036740,Kickapoo Site 6 CDP,20013,Brown County,100
2256170,North Vacherie CDP,22093,St. James Parish,100
2685700,West Ishpeming CDP,26103,Marquette County,100
3029050,Fox CDP,30009,Carbon County,100
3427995,Greentree CDP,34007,Camden County,100
3541620,Llano del Medio CDP,35019,Guadalupe County,100
3637132,Hurley CDP,36111,Ulster County,100
4515220,Clifton CDP,45083,Spartanburg County,100
4814881,Chula Vista CDP,48323,Maverick County,100
4857116,Pettus CDP,48025,Bee County,100
5144430,Laurel Hill CDP,51059,Fairfax County,100
5408836,Boaz CDP,54107,Wood County,100
0642412,Loma Rica CDP,06115,Yuba County,100
0671218,Shasta CDP,06089,Shasta County,100
1970545,Sandusky CDP,19111,Lee County,100
2072600,Urbana CDP,20133,Neosho County,100
2231180,Gray CDP,22109,Terrebonne Parish,100
2510015,Buzzards Bay CDP,25001,Barnstable County,100
2566035,South Yarmouth CDP,25001,Barnstable County,100
3620995,Duanesburg CDP,36093,Schenectady County,100
3636233,Huntington CDP,36103,Suffolk County,100
3648054,Montauk CDP,36103,Suffolk County,100
3676584,Vails Gate CDP,36071,Orange County,100
5374760,Verlot CDP,53061,Snohomish County,100
0206850,Big Delta CDP,02240,Southeast Fairbanks Census Area,100
0463610,San Miguel CDP,04019,Pima County,100
0602770,Arnold CDP,06009,Calaveras County,100
0637624,June Lake CDP,06051,Mono County,100
0918675,Daniels Farm CDP,09001,Fairfield County,100
0952560,New Milford CDP,09005,Litchfield County,100
1929730,Garden City CDP,19083,Hardin County,100
2401975,Arbutus CDP,24005,Baltimore County,100
3538820,La Mesilla CDP,35039,Rio Arriba County,100
3621578,East Atlantic Beach CDP,36059,Nassau County,100
3621600,East Avon CDP,36051,Livingston County,100
3648208,Montrose CDP,36119,Westchester County,100
3721880,Etowah CDP,37089,Henderson County,100
3772150,West Canton CDP,37087,Haywood County,100
3849220,McGregor CDP,38105,Williams County,100
4724400,Essary Springs CDP,47069,Hardeman County,100
4871264,Sunset CDP,48337,Montague County,100
5514440,Chief Lake CDP,55113,Sawyer County,100
0575590,Wilburn CDP,05023,Cleburne County,100
1606670,Bennington CDP,16007,Bear Lake County,100
3061300,Raynesford CDP,30045,Judith Basin County,100
3747695,Northlakes CDP,37027,Caldwell County,100
3972258,Sherwood CDP,39061,Hamilton County,100
4119600,Dillard CDP,41019,Douglas County,100
4279680,Valley View CDP,42107,Schuylkill County,100
4539265,La France CDP,45007,Anderson County,100
5366220,Southworth CDP,53035,Kitsap County,100
5435596,Harts CDP,54043,Lincoln County,100
0680966,Twain Harte CDP,06109,Tuolumne County,100
1208075,Bradfordville CDP,12073,Leon County,100
1215055,Country Walk CDP,12086,Miami-Dade County,100
1248850,Nocatee CDP,12109,St. Johns County,100
1512400,Hauula CDP,15003,Honolulu County,100
2223725,Empire CDP,22075,Plaquemines Parish,100
2432650,Glen Burnie CDP,24003,Anne Arundel County,100
2813700,Clara CDP,28153,Wayne County,100
2950834,Murphy CDP,29099,Jefferson County,100
3223770,Enterprise CDP,32003,Clark County,100
3951816,Montrose-Ghent CDP,39153,Summit County,100
4514230,Chickasaw Point CDP,45073,Oconee County,100
4573330,Utica CDP,45073,Oconee County,100
4873424,Tow CDP,48299,Llano County,100
5315780,Crocker CDP,53053,Pierce County,100
5319857,East Renton Highlands CDP,53033,King County,100
5446420,Lesage CDP,54011,Cabell County,100
5510550,Brule CDP,55031,Douglas County,100
0123224,Egypt CDP,01055,Etowah County,100
0621012,East Porterville CDP,06107,Tulare County,100
0633861,Hilmar-Irwin CDP,06047,Merced County,100
0922980,East Haven CDP,09009,New Haven County,100
0935020,Guilford Center CDP,09009,New Haven County,100
1208650,Broadview Park CDP,12011,Broward County,100
4104400,Barview CDP,41011,Coos County,100
4244632,Loop CDP,42013,Blair County,100
4264032,Refton CDP,42071,Lancaster County,100
5304100,Bangor Base CDP,53035,Kitsap County,100
5355540,Porter CDP,53027,Grays Harbor County,100
0241280,Kokhanok CDP,02164,Lake and Peninsula Borough,100
0428981,Grand Canyon Village CDP,04005,Coconino County,100
0546460,Monroe CDP,05095,Monroe County,100
0612902,Cherryland CDP,06001,Alameda County,100
2214135,Chalmette CDP,22087,St. Bernard Parish,100
2242135,Larose CDP,22057,Lafourche Parish,100
2324740,Farmington CDP,23007,Franklin County,100
2428075,Ferndale CDP,24003,Anne Arundel County,100
2558370,Rowley CDP,25009,Essex County,100
2829620,Gulf Hills CDP,28059,Jackson County,100
2829660,Gulf Park Estates CDP,28059,Jackson County,100
3408455,Browns Mills CDP,34005,Burlington County,100
3940348,Kings Mills CDP,39165,Warren County,100
4228456,Garden View CDP,42081,Lycoming County,100
4811440,Burlington CDP,48331,Milam County,100
5130480,Gasburg CDP,51025,Brunswick County,100
5136216,Heathsville CDP,51133,Northumberland County,100
5337567,Lake Morton-Berrydale CDP,53033,King County,100
5421316,Despard CDP,54033,Harrison County,100
7226502,Emajagua comunidad,72095,Maunabo Municipio,100
7273716,Sabana Hoyos comunidad,72013,Arecibo Municipio,100
0125864,Fayetteville CDP,01121,Talladega County,100
0157384,Our Town CDP,01123,Tallapoosa County,100
0663148,Round Valley CDP,06027,Inyo County,100
1246540,Moon Lake CDP,12101,Pasco County,100
2324285,Fairfield CDP,23025,Somerset County,100
2832460,Hillsboro CDP,28123,Scott County,100
4010150,Burneyville CDP,40085,Love County,100
4182850,Wimer CDP,41029,Jackson County,100
5011875,Castleton CDP,50021,Rutland County,100
5130618,George Mason CDP,51059,Fairfax County,100
5150200,Maurertown CDP,51171,Shenandoah County,100
5417140,Colliers CDP,54009,Brooke County,100
0419740,Doney Park CDP,04005,Coconino County,100
0440415,LeChee CDP,04005,Coconino County,100
0600212,Acton CDP,06037,Los Angeles County,100
0612612,Challenge-Brownsville CDP,06115,Yuba County,100
0685086,Whitehawk CDP,06063,Plumas County,100
2313435,Clinton CDP,23011,Kennebec County,100
2464568,Queensland CDP,24033,Prince George's County,100
2563655,South Dennis CDP,25001,Barnstable County,100
3009500,Bridger CDP,30031,Gallatin County,100
3130170,Macy CDP,31173,Thurston County,100
3602308,Apalachin CDP,36107,Tioga County,100
4222696,Egypt CDP,42077,Lehigh County,100
4234048,Herminie CDP,42129,Westmoreland County,100
4268248,Schubert CDP,42011,Berks County,100
4601560,Angostura CDP,46047,Fall River County,100
5184632,Westlake Corner CDP,51067,Franklin County,100
0264930,Red Devil CDP,02050,Bethel Census Area,100
0459760,Red Rock CDP,04021,Pinal County,100
0623294,Fair Oaks CDP,06067,Sacramento County,100
0977278,Trumbull Center CDP,09001,Fairfield County,100
1823386,Fish Lake CDP,18091,LaPorte County,100
2421150,Crumpton CDP,24035,Queen Anne's County,100
2501640,Arlington CDP,25017,Middlesex County,100
2606430,Bear Lake CDP,26079,Kalkaska County,100
2685300,Wellston CDP,26101,Manistee County,100
2818700,Dennis CDP,28141,Tishomingo County,100
2872080,Symonds CDP,28011,Bolivar County,100
3242350,Logan Creek CDP,32005,Douglas County,100
3429940,Harlingen CDP,34035,Somerset County,100
5304405,Basin City CDP,53021,Franklin County,100
5317495,Deming CDP,53073,Whatcom County,100
7229682,Frontón comunidad,72039,Ciales Municipio,100
0132584,Hackneyville CDP,01123,Tallapoosa County,100
0178312,Vandiver CDP,01117,Shelby County,100
0608828,Buena Vista CDP,06005,Amador County,100
0639472,Lake City CDP,06049,Modoc County,100
1354012,Musella CDP,13079,Crawford County,100
2215605,Claiborne CDP,22073,Ouachita Parish,100
2232510,Hahnville CDP,22089,St. Charles Parish,100
3447895,Moorestown-Lenola CDP,34005,Burlington County,100
3651528,North Bellport CDP,36103,Suffolk County,100
3936557,Howland Center CDP,39155,Trumbull County,100
4057875,Peavine CDP,40001,Adair County,100
4137150,Jasper CDP,41039,Lane County,100
4625900,Green Grass CDP,46041,Dewey County,100
4877680,Westminster CDP,48085,Collin County,100
5556050,Neopit CDP,55078,Menominee County,100
0114968,Chunchula CDP,01097,Mobile County,100
0461940,Saddlebrooke CDP,04021,Pinal County,100
0613784,Clarksburg CDP,06113,Yolo County,100
0619220,Diamond Springs CDP,06017,El Dorado County,100
0622524,Elverta CDP,06067,Sacramento County,100
0636452,Indio Hills CDP,06065,Riverside County,100
0813590,Cherry Creek CDP,08005,Arapahoe County,100
2179464,Verona CDP,21015,Boone County,100
2409100,Braddock Heights CDP,24021,Frederick County,100
2563690,South Duxbury CDP,25023,Plymouth County,100
3307620,Bristol CDP,33009,Grafton County,100
3744280,Moravian Falls CDP,37193,Wilkes County,100
4080813,Whitehorn Cove CDP,40145,Wagoner County,100
5337917,Lake Stickney CDP,53061,Snohomish County,100
5355645,Port Ludlow CDP,53031,Jefferson County,100
7274189,Sabana Seca comunidad,72137,Toa Baja Municipio,100
0611978,Castroville CDP,06053,Monterey County,100
0618153,Day Valley CDP,06087,Santa Cruz County,100
0640956,Lebec CDP,06029,Kern County,100
0961870,Portland CDP,09007,Middlesex County,100
1215300,Crawfordville CDP,12129,Wakulla County,100
2411050,Buckeystown CDP,24021,Frederick County,100
2686380,Westwood CDP,26077,Kalamazoo County,100
3524540,Encinal CDP,35006,Cibola County,100
3950974,Mitiwanga CDP,39043,Erie County,100
4017110,Copeland CDP,40041,Delaware County,100
4226984,Foundryville CDP,42037,Columbia County,100
4261432,Pleasant View CDP,42005,Armstrong County,100
4646700,Ola CDP,46015,Brule County,100
5055750,Plainfield CDP,50023,Washington County,100
0241500,Koliganek CDP,02070,Dillingham Census Area,100
1513600,Hawi CDP,15001,Hawaii County,100
1929325,Frytown CDP,19103,Johnson County,100
2957350,Philadelphia CDP,29127,Marion County,100
3063940,Rocky Point CDP,30047,Lake County,100
3944128,Little Hocking CDP,39167,Washington County,100
4259344,Penryn CDP,42071,Lancaster County,100
4431600,Greenville CDP,44007,Providence County,100
4600520,Agency Village CDP,46109,Roberts County,100
4876564,Warren CDP,48457,Tyler County,100
4964230,Riverside CDP,49003,Box Elder County,100
5307390,Bothell East CDP,53061,Snohomish County,100
5640945,Johnstown CDP,56013,Fremont County,100
7233184,Hacienda San José comunidad,72025,Caguas Municipio,100
1243475,Matlacha CDP,12071,Lee County,100
1569050,Schofield Barracks CDP,15003,Honolulu County,100
2386620,Winter Harbor CDP,23009,Hancock County,100
2431350,Gambrills CDP,24003,Anne Arundel County,100
2808655,Bridgetown CDP,28033,DeSoto County,100
3361220,Pinardville CDP,33011,Hillsborough County,100
3463900,Robertsville CDP,34025,Monmouth County,100
4256960,Orchard Hills CDP,42005,Armstrong County,100
4502665,Arthurtown CDP,45079,Richland County,100
4551180,Northlake CDP,45007,Anderson County,100
4812562,Canyon Creek CDP,48221,Hood County,100
5114995,Chase Crossing CDP,51001,Accomack County,100
0600478,Ahwahnee CDP,06039,Madera County,100
0640426,Larkfield-Wikiup CDP,06097,Sonoma County,100
0646660,Mecca CDP,06065,Riverside County,100
2403800,Ballenger Creek CDP,24021,Frederick County,100
2929656,Grovespring CDP,29229,Wright County,100
3659740,Prattsville CDP,36039,Greene County,100
4147650,Merlin CDP,41033,Josephine County,100
5113160,Carrollton CDP,51093,Isle of Wight County,100
5319630,Eastmont CDP,53061,Snohomish County,100
5376195,Warm Beach CDP,53061,Snohomish County,100
5463772,Pinch CDP,54039,Kanawha County,100
0203990,Arctic Village CDP,02290,Yukon-Koyukuk Census Area,100
0919200,Deep River Center CDP,09007,Middlesex County,100
1212412,Citrus Hills CDP,12017,Citrus County,100
2451587,Mays Chapel CDP,24005,Baltimore County,100
3424300,Fort Dix CDP,34005,Burlington County,100
3622326,East Ithaca CDP,36109,Tompkins County,100
4523110,Edmund CDP,45063,Lexington County,100
5145784,Lincolnia CDP,51059,Fairfax County,100
5348295,Neah Bay CDP,53009,Clallam County,100
1376112,The Rock CDP,13293,Upson County,100
1634030,Groveland CDP,16011,Bingham County,100
3476010,Villas CDP,34009,Cape May County,100
3577950,Timberon CDP,35035,Otero County,100
5030100,Greensboro CDP,50019,Orleans County,100
7286831,Villalba zona urbana,72149,Villalba Municipio,100
0602378,Aptos CDP,06087,Santa Cruz County,100
0617372,Crowley Lake CDP,06051,Mono County,100
0639715,Lake Riverside CDP,06065,Riverside County,100
1248825,Nobleton CDP,12053,Hernando County,100
1254238,Palmer Ranch CDP,12115,Sarasota County,100
2462175,Pleasant Hills CDP,24025,Harford County,100
2582595,Yarmouth Port CDP,25001,Barnstable County,100
3284600,Winchester CDP,32003,Clark County,100
3620852,Downsville CDP,36025,Delaware County,100
3664892,Salt Point CDP,36027,Dutchess County,100
3702480,Atlantic CDP,37031,Carteret County,100
3903585,Bainbridge CDP,39055,Geauga County,100
4072800,Teresita CDP,40021,Cherokee County,100
4511035,Camp Croft CDP,45083,Spartanburg County,100
4518706,Daviston CDP,45067,Marion County,100
4808404,Bivins CDP,48067,Cass County,100
5307450,Bow CDP,53057,Skagit County,100
5378780,Wilderness Rim CDP,53033,King County,100
0443150,McConnico CDP,04015,Mohave County,100
0621788,El Centro Naval Air Facility CDP,06025,Imperial County,100
0986380,Wilton Center CDP,09001,Fairfield County,100
1275725,Wekiwa Springs CDP,12117,Seminole County,100
1580000,Waipio Acres CDP,15003,Honolulu County,100
2345985,Milo CDP,23021,Piscataquis County,100
2463375,Potomac Heights CDP,24017,Charles County,100
3011500,Bynum CDP,30099,Teton County,100
3454060,Oak Valley CDP,34015,Gloucester County,100
3622810,Eastport CDP,36103,Suffolk County,100
4922210,Elberta CDP,49049,Utah County,100
5129840,Free Union CDP,51003,Albemarle County,100
0240645,Knik-Fairview CDP,02170,Matanuska-Susitna Borough,100
0958520,Oxoboxo River CDP,09011,New London County,100
2418475,Colesville CDP,24031,Montgomery County,100
2470475,Savage CDP,24027,Howard County,100
3645139,Manorville CDP,36103,Suffolk County,100
4221176,East Freedom CDP,42013,Blair County,100
4273264,Spring House CDP,42091,Montgomery County,100
4281808,Wayne Heights CDP,42055,Franklin County,100
0407590,Brenda CDP,04012,La Paz County,100
0413610,Circle City CDP,04013,Maricopa County,100
0612916,Cherry Valley CDP,06065,Riverside County,100
2603960,Atlantic Mine CDP,26061,Houghton County,100
2871040,Strayhorn CDP,28137,Tate County,100
3532148,Highland Meadows CDP,35061,Valencia County,100
3645524,Marcy CDP,36065,Oneida County,100
5172080,Shipman CDP,51125,Nelson County,100
0273950,Sunrise CDP,02122,Kenai Peninsula Borough,100
0430840,Haigler Creek CDP,04007,Gila County,100
0455700,Pine CDP,04007,Gila County,100
0607694,Boulevard CDP,06073,San Diego County,100
2278680,Village St. George CDP,22033,East Baton Rouge Parish,100
2807220,Bobo CDP,28027,Coahoma County,100
3583760,Waterflow CDP,35045,San Juan County,100
3980066,Vienna Center CDP,39155,Trumbull County,100
4205904,Berwyn CDP,42029,Chester County,100
4646240,Oahe Acres CDP,46065,Hughes County,100
4865432,San Isidro CDP,48427,Starr County,100
5119571,County Center CDP,51153,Prince William County,100
5126592,Fairfax Station CDP,51059,Fairfax County,100
5316550,Dallesport CDP,53039,Klickitat County,100
5658100,Orin CDP,56009,Converse County,100
7231189,Guánica zona urbana,72055,Guánica Municipio,100
0601010,Allensworth CDP,06107,Tulare County,100
0969010,Simsbury Center CDP,09003,Hartford County,100
1208762,Brookridge CDP,12053,Hernando County,100
1219212,East Lake-Orient Park CDP,12057,Hillsborough County,100
1249350,North Fort Myers CDP,12071,Lee County,100
2355575,Orono CDP,23019,Penobscot County,100
3515370,Church Rock CDP,35031,McKinley County,100
3611671,Calcium CDP,36045,Jefferson County,100
4734580,Hilham CDP,47133,Overton County,100
4858952,Port O'Connor CDP,48057,Calhoun County,100
5337105,Lake Cavanaugh CDP,53057,Skagit County,100
0413820,Citrus Park CDP,04013,Maricopa County,100
0637134,Janesville CDP,06035,Lassen County,100
0677042,Sunol CDP,06001,Alameda County,100
1251342,Old Miakka CDP,12115,Sarasota County,100
3459500,Pleasant Plains CDP,34035,Somerset County,100
4272576,Southview CDP,42125,Washington County,100
5067150,South Lincoln CDP,50001,Addison County,100
7235403,H. Rivera Colón comunidad,72135,Toa Alta Municipio,100
7237336,Jaguas comunidad,72039,Ciales Municipio,100
0659080,Quincy CDP,06063,Plumas County,100
0680560,Trowbridge CDP,06101,Sutter County,100
1238430,Lake Mary Jane CDP,12095,Orange County,100
1245350,Middleburg CDP,12019,Clay County,100
1576600,Waikoloa Village CDP,15001,Hawaii County,100
2250115,Metairie CDP,22051,Jefferson Parish,100
3460960,Princeton Junction CDP,34021,Mercer County,100
3559120,Ponderosa Pine CDP,35001,Bernalillo County,100
3561675,Rancho Grande CDP,35003,Catron County,100
3744700,Mountain Home CDP,37089,Henderson County,100
4705500,Bethpage CDP,47165,Sumner County,100
5184976,West Springfield CDP,51059,Fairfax County,100
5308885,Burley CDP,53035,Kitsap County,100
5310075,Carlsborg CDP,53009,Clallam County,100
5416612,Coal Fork CDP,54039,Kanawha County,100
0626056,French Gulch CDP,06089,Shasta County,100
1225125,Fussels Corner CDP,12105,Polk County,100
1271250,Tavernier CDP,12087,Monroe County,100
1654370,Moreland CDP,16011,Bingham County,100
2218930,Cut Off CDP,22057,Lafourche Parish,100
2318230,Dover-Foxcroft CDP,23021,Piscataquis County,100
2444975,Lake Shore CDP,24003,Anne Arundel County,100
2478050,Timonium CDP,24005,Baltimore County,100
3331860,Greenville CDP,33011,Hillsborough County,100
3958149,Olde West Chester CDP,39017,Butler County,100
4218312,Davidsville CDP,42111,Somerset County,100
7275694,San Antonio comunidad,72051,Dorado Municipio,100
0243810,Levelock CDP,02164,Lake and Peninsula Borough,100
0625534,Frazier Park CDP,06029,Kern County,100
1212425,Citrus Park CDP,12057,Hillsborough County,100
1242850,Mango CDP,12057,Hillsborough County,100
3437710,Lake Hopatcong CDP,34027,Morris County,100
3450040,Neshanic CDP,34035,Somerset County,100
4280432,Wagner CDP,42087,Mifflin County,100
4505770,Berea CDP,45045,Greenville County,100
5465668,Prince CDP,54019,Fayette County,100
0248870,Metlakatla CDP,02198,Prince of Wales-Hyder Census Area,100
0659506,Rancho Murieta CDP,06067,Sacramento County,100
0673430,South Whittier CDP,06037,Los Angeles County,100
0678596,Thousand Palms CDP,06065,Riverside County,100
1323200,Dock Junction CDP,13127,Glynn County,100
2329220,Greene CDP,23001,Androscoggin County,100
2740814,Martin Lake CDP,27003,Anoka County,100
3035912,Herron CDP,30041,Hill County,100
3205700,Blue Diamond CDP,32003,Clark County,100
3416630,Dayton CDP,34023,Middlesex County,100
3629476,Golden's Bridge CDP,36119,Westchester County,100
3745720,Murraysville CDP,37129,New Hanover County,100
3760515,Seven Lakes CDP,37125,Moore County,100
3872250,Shell Valley CDP,38079,Rolette County,100
3970050,Salem Heights CDP,39061,Hamilton County,100
4030500,Gowen CDP,40077,Latimer County,100
4243704,Linntown CDP,42119,Union County,100
4776180,Unionville CDP,47003,Bedford County,100
4817426,Coyote Acres CDP,48249,Jim Wells County,100
4879192,Wild Peach Village CDP,48039,Brazoria County,100
1235350,Jasmine Estates CDP,12101,Pasco County,100
1249905,North Weeki Wachee CDP,12053,Hernando County,100
1262275,Ruskin CDP,12057,Hillsborough County,100
1382916,Wildwood CDP,13083,Dade County,100
1551000,Mililani Mauka CDP,15003,Honolulu County,100
2536020,Littleton Common CDP,25017,Middlesex County,100
3436720,Kenvil CDP,34027,Morris County,100
3514110,Chamisal CDP,35055,Taos County,100
3550930,Nambe CDP,35049,Santa Fe County,100
3626726,Fort Covington CDP,36033,Franklin County,100
4116650,Crawfordsville CDP,41043,Linn County,100
5155000,Nathalie CDP,51083,Halifax County,100
5463988,Piney View CDP,54081,Raleigh County,100
5658970,Osmond CDP,56023,Lincoln County,100
1710936,Candlewick Lake CDP,17007,Boone County,100
2060400,Rock CDP,20035,Cowley County,100
2246615,Luling CDP,22089,St. Charles Parish,100
2408850,Bowling Green CDP,24001,Allegany County,100
2449700,Madison CDP,24019,Dorchester County,100
2509875,Burlington CDP,25017,Middlesex County,100
3216300,Crescent Valley CDP,32011,Eureka County,100
3675021,Tonawanda Town CDP,36029,Erie County,100
4116450,Crane CDP,41025,Harney County,100
4245192,Loyalhanna CDP,42129,Westmoreland County,100
4646540,Oglala CDP,46102,Oglala Lakota County,100
4867082,Shady Hollow CDP,48453,Travis County,100
5032350,Hartland CDP,50027,Windsor County,100
7258602,Palmas del Mar comunidad,72069,Humacao Municipio,100
0124280,Equality CDP,01037,Coosa County,100
0444450,Maricopa Colony CDP,04013,Maricopa County,100
0649796,Mount Hermon CDP,06087,Santa Cruz County,100
1234400,Ives Estates CDP,12086,Miami-Dade County,100
1239987,Lely CDP,12021,Collier County,100
1368880,Sautee-Nacoochee CDP,13311,White County,100
2337235,Kittery CDP,23031,York County,100
3582800,Ventura CDP,35029,Luna County,100
3637869,Islip CDP,36103,Suffolk County,100
3746280,Neuse Forest CDP,37049,Craven County,100
4238104,Jerome CDP,42111,Somerset County,100
4547200,Monarch Mill CDP,45087,Union County,100
4706440,Blanche CDP,47103,Lincoln County,100
5121872,Deerfield CDP,51015,Augusta County,100
5589760,Zoar CDP,55078,Menominee County,100
5613440,Centennial CDP,56001,Albany County,100
0163730,Redland CDP,01051,Elmore County,100
1222275,Ferry Pass CDP,12033,Escambia County,100
1275200,Warrington CDP,12033,Escambia County,100
1544150,Laupahoehoe CDP,15001,Hawaii County,100
2418200,Cobb Island CDP,24017,Charles County,100
2451940,Melwood CDP,24033,Prince George's County,100
3613552,Central Islip CDP,36103,Suffolk County,100
3682942,Woodmere CDP,36059,Nassau County,100
4563665,Sangaree CDP,45015,Berkeley County,100
