"docname","from","to","pre","keyword","post","pattern","place_fips","state_name","place_name","meeting_type","transcript_id","transcript_year","transcript_month","transcript_day","stcounty_fips","county_name","state_fips","county_fips"
"text102065",9674,9674,"curious damaged result ida storms something routine maintenance routine major maintenance emergency repair required ensure public safety certainly believe remnants","hurricane","hyde storm helped situation know also total cause think totality circumstances causing repair necessary certainly lot rainfall last couple years","storms","3447500","New Jersey","Montclair township","MUNICIPAL COUNCIL","a8z6ycrVqKY","2021","12","07","34013","Essex County","34","013"
"text84673",2348,2348,"warn people put signs say contaminated water number things even said officials say keep residents updated regarding school crossings area","hurricane","eon water flooding flooding number people's yards think 25 yards 50 homes least 50 homes sewage streets kids played nobody","storms","1271900","Florida","Titusville city","MUNICIPAL COUNCIL","0PmwDDUPajk","2023","04","11","12009","Brevard County","12","009"
"text38656",3447,3447,"major property losses within globally within united states looking right now fire fires big part even though live earthquake zones","hurricane","zones pay anybody else questions comments favor motions say aye motion carried remember three request authorization purchase kubota worksite vehicle","storms","1735398","Illinois","Hoffman village","COMMITTEE","wjFyEuvjvqQ","2019","12","09","17027","Clinton County","17","027"
"text36267",2430,2431,"trudging along questions wanted let guys know farmers market spring summer season concluded last week successful glow park thursday rescheduled","tropical storm","weather couple weeks ago 8 p.m . fair hooper's community park sponsored city downtown favorite business association leggo - movie","storms","0125240","Alabama","Fairhope city","MUNICIPAL COUNCIL","-i-3sTReseE","2019","07","22","01003","Baldwin County","01","003"
"text91822",3318,3318,"dangerous seniors walk got two hands guess [ 15 second ] everything [ 4 second ] particularly track hoe repairs","hurricane","ivan problems back 2004 path [ 5 second ] ground senior done great job [ 4 second ] kids marvelous","storms","3737113","North Carolina","Macon County","COUNTY COMMISSION","ND-lyVO8L8E","2018","10","09","37113","Macon County","37","113"
"text72271",3765,3765,"floor second part fire chief sitting listening know large-scale power outages especially wintertime carbon monoxide killer right parents almost died","hurricane","frances carbon monoxide odd situation luckily identified run generator outside pushing co inside get well carbon dioxide want make sure","storms","3712000","North Carolina","Charlotte city","MUNICIPAL COUNCIL","mSr6F-sQvwY","2021","10","28","37119","Mecklenburg County","37","119"
"text21901",5240,5240,"p.m . operation bugle boys holding chicken dinner american legion reminder saturday hudson holding another lemonade stand efforts help aid","hurricane","victims counsel announcements start councilman kemna counselor sure kind recap events went past weekend saturday morning privilege part opening ceremony","storms","2937000","Missouri","Jefferson City city","MUNICIPAL COUNCIL","0w9ab0lgZVs","2017","09","05","29051","Cole County","29","051"
"text89817",436,436,"december point thursday seventeen one p.m . open house blade medical associates office dublin invited 1pm friday 18th nine 11am","hurricane","matthew legislative input session lumberton robeson county invited attend also saturday 9am united way annual 5k crazy color run walk","storms","3737017","North Carolina","Bladen County","COUNTY BOARD","8y31UeS6klU","2016","11","14","37017","Bladen County","37","017"
"text28143",1561,1561,"absolutely think talking october 2017 application permit sign denied trying figure got guys remember remember correctly said initially billboard destroyed","hurricane","correct herma herman repairs repairs done correct time correct approve disapproved city approved disagree remember foot called take board now","storms","1271900","Florida","Titusville city","OTHER BOARD","Xk7sRom0pNw","2018","11","12","12009","Brevard County","12","009"
"text31918",8680,8680,"trimming crews well foodservice bunk houses needed alabama florida mississippi seems get major get point kind dust mean somebody set","hurricane","season prediction year well third always 12 13 slightly increase yes still antithesis five degree weather part budget process year","storms","3746340","North Carolina","New Bern city","BOARD OF ALDERMEN","j6cCFHqvCJM","2018","05","02","37049","Craven County","37","049"
"text22159",7608,7608,"phones go apps problem waste removal [ 4 second ] hurricane relief efforts talked commissioner went picture dog dinner writing","hurricane","county man kind sight able take data actually route appropriate service around county automatically talking right now [ 5 second","storms","3137000","Nebraska","Omaha city","COMMITTEE","1MPdlKvxbTM","2017","11","07","31055","Douglas County","31","055"
"text63775",9754,9754,"getting grant money maintenance apply grant money maintenance neglected 20 years may say know due lightning strike know high winds","hurricane","due lack maintenance known community lot buildings deplorable condition fire chief state police department knows know kicking can road know","storms","2581005","Massachusetts","Winthrop Town city","MUNICIPAL COUNCIL","OrQ1XnLv610","2021","06","15","25025","Suffolk County","25","025"
"text66685",5314,5314,"want participate buy program want stay elevate home homes around bought another hurricane comes area individuals stayed homes elevated another","hurricane","comes qualify fema funding buyout zone elected stay elevate home necessarily know answer cdbg funds versus fema funds work together","storms","3746340","North Carolina","New Bern city","BOARD OF ALDERMEN","e6lRAc7-GHQ","2021","04","27","37049","Craven County","37","049"
"text31907",1033,1033,"barricades move go around whatever reason trying protect public wary locations see buildings 20 municipal owned buildings received kind damage","hurricane","damages submitted insurance adjusters site evaluating damages soon insurance adjusters recommendations whatever planning cover point can start completing project worksheet","storms","3746340","North Carolina","New Bern city","BOARD OF ALDERMEN","_utZWYZpwkE","2018","10","23","37049","Craven County","37","049"
"text59686",1550,1550,"municipalities last restored individual homes comparison restoration efforts make improvements every storm experience operationally much better success storm see comparisons","hurricane","sandy took us 21 days restore power irene 10 days riley quinn 11 isaiah's six days virtually half time much","storms","3471430","New Jersey","Summit city","MUNICIPAL COUNCIL","xnzRkLh9YVc","2020","11","04","34039","Union County","34","039"
"text77511",1525,1525,"revenues middle year live june 30 . simplistic way put water sewer fund see fema reimbursement eight hundred thousand dollars","hurricane","number years ago get reimbursement check 794 0988 inflated revenues even take right 800 dollars still still condition enterprise fund","storms","3764180","North Carolina","Spring Lake town","BOARD OF ALDERMEN","EJTCiJasqgw","2022","02","28","37051","Cumberland County","37","051"
"text94477",86,86,"whole lot actually get purchased much anything basically everything see repairs lot repairs supplies got stuff got stuck supplies preparedness","hurricane","came lot got stuck station one supplies said know know capital expense 6 500 actually spend capital expense went budget","storms","4545033","South Carolina","Dillon County","MUNICIPAL COUNCIL","bdAZX2QUW5A","2020","08","19","45033","Dillon County","45","033"
"text59917",142,142,"jump right item number one resolution city fell city pharaoh hereby declares emergency effective immediately saturday august 28 2021 associated","hurricane","ida potential make landfall near louisiana tropical storm force winds predicted mobile baldwin counties hereby authorizes directs mayor mayor pro","storms","0125240","Alabama","Fairhope city","MUNICIPAL COUNCIL","R8m021szQHM","2021","08","28","01003","Baldwin County","01","003"
"text54473",2646,2646,"going try get project started soon got back contract got approved let contract accepted contract indicated us going hopefully next","hurricane","season also ask year-round dredging said make contract enticing also help us messed one tourist season rather two tourist seasons","storms","3766040","North Carolina","Surf City town","MUNICIPAL COUNCIL","FUtqEe9l3eg","2020","11","04","37141","Pender County","37","141"
"text30649",8276,8276,"60 days floating rest two major operations another question dealing money talked earlier 75 % 12 half percent dealing also","hurricane","nate well involved katrina infrastructure know trickly infrastructure now handled city million 2n three million coming use yes life everything","storms","2806220","Mississippi","Biloxi city","MUNICIPAL COUNCIL","fNad_yR1Ivo","2018","10","16","28047","Harrison County","28","047"
"text62145",1,1,"","hurricane","weight portion show normally chief read poetry decided spare crowd tonight council order first item agenda invocation ask observe moment","storms","0816495","Colorado","Commerce City city","MUNICIPAL COUNCIL","sOfrMEvpbiw","2021","09","21","08001","Adams County","08","001"
"text31908",2301,2301,"state north carolina emergency management map areas brief encompasses wayne green craven carteret pamlico counties division supervisor yes served position","hurricane","matt return engagement unlike division supervisors went assigned time introduce went time people giving hugs know yes thing role job","storms","3746340","North Carolina","New Bern city","BOARD OF ALDERMEN","gzFVUHNRo-k","2018","09","25","37049","Craven County","37","049"
"text93142",227,227,"school year went quick getting acclimated position looking back know month august pitt county school starts last week september holiday","hurricane","month october showed snapshot program wanted share tonight baaraat bundy suggs elementary school twelve hundred medical history consent forms went","storms","3737147","North Carolina","Pitt County","COUNTY BOARD","MYvI-40c5uk","2019","11","12","37147","Pitt County","37","147"
"text31826",3779,3779,"jeopardy reason reinforce [ 5 second ] east end causeway signal caused tropical [ 6 second ] storm matthew even","hurricane","[ 5 second ] concern [ 4 second ] property first protection [ 7 second ] time guys robert address","storms","3765900","North Carolina","Sunset Beach town","MUNICIPAL COUNCIL","SFh2VBU2GNE","2018","05","15","37019","Brunswick County","37","019"
"text82524",11495,11495,"give everyone direction inclined change think correct know inclined look favorable right new right-of-way encroachments new design waivers requested technical","cyclone","requests made well ddp condition approval got matter may may answer may non-issue move point internal temperature take temperature put","storms","3401960","New Jersey","Asbury Park city","PLANNING/ZONING BOARD/COMMISSION","qRiO8SL9yJo","2022","12","12","34025","Monmouth County","34","025"
"text34895",2351,2351,"fliers mentioned also face face communication trying get community local stores hoas committee organizations spread word build relationships much possible","hurricane","arma north miami first municipality south florida activate fema disaster assistance center know well told fema sent 15 employees us","storms","4847988","Texas","Miami city","MUNICIPAL COUNCIL","i_dVxXIB6nU","2018","06","26","48393","Roberts County","48","393"
"text77337",8478,8478,"guide copy put mailbox well lsv cards well new tri-fold brochure guide features information storms well key overview topics discusses","hurricane","major storm events information also available website hurricane page 500 copies also printed distributed town hall customer service test beach","storms","3748345","North Carolina","Oak Island town","MUNICIPAL COUNCIL","tGPPU_acDNs","2022","07","12","37019","Brunswick County","37","019"
"text91730",1582,1583,"falls 61 percent total tried touch stuff highlighted 2018 done stuff year next report know repair ball fields flooding top","tropical storm","alberto may june done two three times past four years called several thousand dollars say know lot people say look","storms","3737021","North Carolina","Buncombe County","BOARD OF ALDERMEN","mKPKNEU-X1w","2018","10","08","37021","Buncombe County","37","021"
"text41051",565,565,"toxic algae blooms flesh-eating bacteria certainly psychological effect hopefully can overcome say hotel's standpoint labor day weekend successful concerning major","hurricane","look monstrous reports looks hotels across gulf coast pretty weekend fantastic weather hopefully numbers go tell everybody great time know","storms","2806220","Mississippi","Biloxi city","MUNICIPAL COUNCIL","Y0ds3b0gjXY","2019","09","03","28047","Harrison County","28","047"
"text33532",3121,3121,"lower catawba river basin plenty time pour reservoir however majority rain upper give us time pull minimal spilling rain event","hurricane","michael spilling however saturated ground 1525 inches rainfall last three months rainfall november cost spilling different kind storm hurricane seven","storms","4538095","South Carolina","Kershaw town","MUNICIPAL COUNCIL","YltNeBY1tyw","2018","12","11","45057","Lancaster County","45","057"
"text84462",9342,9342,"concerns greatly feel baited switched saw city council meeting demeanor attorney say beyond disgusted incredibly disappointed scared death unleashed potential","typhoon","city going pray wrong said want touch base training today eat lot poop sandwiches sometimes make cleaned make decisions say","storms","2624290","Michigan","Eastpointe city","PLANNING/ZONING BOARD/COMMISSION","u9bYf6qMROw","2023","09","07","26099","Macomb County","26","099"
"text94124",6944,6944,"jim klingler wanted make us know availability still hurricane dorian related money available north carolina office recovery resiliency state created","hurricane","florence submitted application included packet went identified items met criteria one vehicle emergency management another one hurricane dorian reimbursed femur","storms","3737055","North Carolina","Dare County","COUNTY BOARD","EKG03bCdRDU","2020","10","19","37055","Dare County","37","055"
"text58204",400,400,"even wednesday evening hearts prayers go gulf coast preparing hurricane make landfall time expected impact south florida report questions covent","hurricane","preparedness much commenter benson question move forward agenda order business madam city manager additional deletion default agenda much unless member","storms","4847988","Texas","Miami city","MUNICIPAL COUNCIL","AkjyWjIcvQM","2020","10","27","48393","Roberts County","48","393"
"text97366",765,765,"move forward projects look chart reconstructions moving half fast getting many applications home reconstructions usually per project usually cost earthquake","hurricane","matthew florence 200 300 000 per home reconstruction three three fifty maybe 300 350 000 prices gotten projects competitively bid","storms","3737087","North Carolina","Haywood County","COUNTY COMMISSION","Y4mjudHGPhY","2023","07","17","37087","Haywood County","37","087"
"text66680",448,448,"get can give us best bang buck guess needs city cyber mean excellent point think important know drainage lived worst","hurricane","know lifetimes sure hope never see anything need prepare next one need make sure ditches clean getting help fema additional","storms","3746340","North Carolina","New Bern city","BOARD OF ALDERMEN","4nqngw08pRQ","2021","06","15","37049","Craven County","37","049"
"text42545",652,652,"money address major drainage problems certainly two three waiting wings talking september october budget noticed explanation yes thinking thinking back","hurricane","possible contractors picking lot garbage time possible numbers different might little different time horticultural material might picked big enough news","storms","3734200","North Carolina","Jacksonville city","MUNICIPAL COUNCIL","IpGUrnbAt_U","2019","05","07","37133","Onslow County","37","133"
"text70593",278,278,"syria set conduct business syria attorney yes mayor quorum agenda set may proceed much now special presentation update kobe 19","hurricane","awareness know coming clemson commander branson yes commander brunson afternoon mayor council commander angela branson emergency manager far hurricanes awareness","storms","4847988","Texas","Miami city","MUNICIPAL COUNCIL","H_xtgTMpnDg","2021","01","12","48393","Roberts County","48","393"
"text91878",13147,13147,"4 second ] couple items hurricane [ 4 second ] items report first one regards hurricane 24 months ago called","hurricane","matthew kind ironic reporting today state notified us probably seen advertisements paper regarding anybody received damage hurricane matthew can apply","storms","3737147","North Carolina","Pitt County","MUNICIPAL COUNCIL","bverdiTKOdM","2018","09","10","37147","Pitt County","37","147"
"text85241",8510,8510,"era funding available last winter putting folks hotels available winter expecting numbers higher city's request actually pop-up temporary emergency shelter","hurricane","lee 15 folks 36 hour period open bought two zip code data hancock county sort things seeing perspective resource navigation","storms","2323200","Maine","Ellsworth city","MUNICIPAL COUNCIL","gPAYURs09nc","2023","09","18","23009","Hancock County","23","009"
"text20358",2371,2371,"happens pick spring continue project east unfortunate apparently conditions different initially thought second item think weeks ago somebody brought issue","hurricane","damage can possibly help effort one staff members able find way help paul burress water wastewater manager contacted company houston","storms","1723620","Illinois","Elmhurst city","MUNICIPAL COUNCIL","w4Xz-U_OBdI","2017","09","18","17043","DuPage County","17","043"
"text71615",1447,1447,"associated energy costs summers hotter drier getting worse air conditioning costs lower tree shaded home winter heating costs reduced home","wind","break trees can increase economic revenue retail shops consumers willing pay higher prices goods greener district believe products sale actually","wind","5336745","Washington","Lacey city","MUNICIPAL COUNCIL","PyXcL75x-Bw","2021","07","15","53067","Thurston County","53","067"
"text14204",1221,1221,"specific number four inches fluffy light snow one inch heavy wet snow weather service website determined used determine high winds","wind","gusts reached 30 35 miles hour city code enforcement officer dispatched collect signs public sidewalks city already acknowledged fewer two","wind","1723620","Illinois","Elmhurst city","MUNICIPAL COUNCIL","3Gb-QndE26Y","2016","10","03","17043","DuPage County","17","043"
"text101004",155,155,"discussion things moved along structure historically significant town may play may require necessity moved instead demolished gone official channel news","wind","reacting prospectively regarding asking town consider piece property owns suitable place put structure moved far away current site town use","wind","2517405","Massachusetts","Dover town","BOARD OF SELECTMEN","5SLdwI8UA50","2020","02","27","25021","Norfolk County","25","021"
"text19867",2986,2986,"hearing none bring back council council know well [ 6 second ] real red flag [ 5 second ] city","wind","negative bank [ 4 second ] account mean worries since council talked continue spend [ 6 second ] bring concern","wind","0612524","California","Ceres city","MUNICIPAL COUNCIL","GthYV6556ko","2017","01","09","06099","Stanislaus County","06","099"
"text19175",4759,4759,"second ] wise step purchased wind recording [ 5 second ] equipment placed site [ 4 second ] started collecting","wind","around february [ 4 second ] year ago now year [ 6 second ] four months worth wind data expect","wind","0609780","California","California City city","MUNICIPAL COUNCIL","eoK3RWFLfP4","2017","08","02","06029","Kern County","06","029"
"text73782",1699,1699,"expansion give us leeway something parking know always desirable courts know pickleball cards well need well trying get one inside","wind","course glad said barbara's laughing always say beat active pickleball community district going change layout park bathroom potentially making bathroom","wind","0654806","California","Pacifica city","COMMITTEE","cJ4XQQ6FpZw","2022","01","31","06081","San Mateo County","06","081"
"text20453",2142,2142,"dollars sixty-six cents installation signage mornings second properly moved second signal lights favor signify saying aye opposed motion carries alamein","wind","item 3.3 . chair staff recommends city council authorized city manager execute contract one bus service amount 38,000 943 dollars","wind","1724582","Illinois","Evanston city","COMMITTEE","iZcRP2G3bwU","2017","04","24","17031","Cook County","17","031"
"text91913",480,480,"various lawsuits although outcome lawsuits presently determined management's opinion resolution minutes heavy material adverse effect financial condition attack think issue","wind","farms going impact us take well name impact point saying acknowledging several lowest lawsuits deal scaling management's opinion win say","wind","4040053","Oklahoma","Grant County","COUNTY COMMISSION","weBbufzVfRM","2018","12","26","40053","Grant County","40","053"
"text42561",2189,2189,"next 50 years facility needs last least long exactly exactly know might time take look rebuilt moore oklahoma schools f5","tornado","went ozmo county honestly called evacuation facility counties withstand four hurricane might opportunity lose point fruit may go see recreation","wind","3734200","North Carolina","Jacksonville city","COMMITTEE","uqt-Z-IfP5c","2019","02","25","37133","Onslow County","37","133"
"text47947",606,606,"added planter suicides know agree comments also suggesting shutters site garage side far trees picture looking think oak tree damaged","wind","cross communication anyways tree ever since clients owned long year far proposing anything parkway driveway stays everything stays one tree","wind","0630000","California","Glendale city","OTHER BOARD","StzZf93NKys","2020","01","20","06037","Los Angeles County","06","037"
"text39063",4234,4234,"every saturday enforcing numerous years now prairie lane disposal made pretty clearly concerned history saying actually later next contract history","wind","analyze whether prairie lands waste management warmers going make proposal look much garbage picked every every know houses much picked","wind","1745694","Illinois","McHenry city","MUNICIPAL COUNCIL","9tP5RnJ0JZw","2019","03","18","17111","McHenry County","17","111"
"text63864",2391,2391,"well say one keeping utilities affordable important certainly prioritize board along emphasizing renewable energy water quality stats seen show cost","wind","solar two prominent best forms renewable energy come significantly last decade now competitive fossil fuels one response costs energies competitive","wind","2646000","Michigan","Lansing city","COMMITTEE","FI1KIRYdnN8","2021","10","11","26065","Ingham County","26","065"
"text28502",7068,7068,"vote vote ordinance 42 - 0 - 18 lease city-owned property 2603 sheridan road alderman fisk gonna breath away go","wind","alderman wilson alden ruth simmons alderman suffered yes alderman revell alderman rainey alderman fleming ok sp1 ordinance 42 - 0","wind","1724582","Illinois","Evanston city","MUNICIPAL COUNCIL","iOmAWEACL08","2018","04","09","17031","Cook County","17","031"
"text78347",3125,3125,"seems changing flood event designed 500 year floods cost afford build anything tornadoes blow town well go change building codes","tornado","comes address high wind durability houses tornado events happen life build house protect every one events mean earthquakes happened changed","wind","4055000","Oklahoma","Oklahoma City city","MUNICIPAL COUNCIL","pU_oAfL_uaE","2022","08","02","40109","Oklahoma County","40","109"
"text54155",3192,3192,"experience can tell whether grady speeding road looking rate passage town officials charge monitoring cabanas whatever end passing going understand","wind","coming water whether point seems unsafe maybe every cabana every umbrella maybe look secured properly occupied can safely supervised door","wind","3765900","North Carolina","Sunset Beach town","MUNICIPAL COUNCIL","w4jmjytnN8M","2020","02","03","37019","Brunswick County","37","019"
"text52133",2842,2842,"cool excited running october 30th november 14th plug things going first msum fortunate still able live audiences new protocols place","wind","ensemble concerts band concert jazz band percussion ensemble drumline concert coming first week november lot things back back week new","wind","2743864","Minnesota","Moorhead city","BOARD OF COMMISSIONERS","gC62lHTLz4o","2020","10","19","27027","Clay County","27","027"
"text66352",1255,1255,"parking lot reason staying open gives us options cover right now decide something else parking lot refer redo terminal building","wind","take covered parking taking asphalt think get questions phase one area four area one taking building making covered correct area","wind","3564930","New Mexico","Roswell city","COMMITTEE","QtyLle1mVc0","2021","06","24","35005","Chaves County","35","005"
"text6562",385,385,"services fourth item authorizing increase contract wilson custom tree seventy five thousand dollars continue work tree remediation north minneapolis related","tornado","damaged trees happy take questions anybody councilman regardin next enter government mental relations one item execute amendment number 22 contract","wind","2743000","Minnesota","Minneapolis city","COMMITTEE","C8xwjmp7mW8","2014","05","21","27053","Hennepin County","27","053"
"text52972",4749,4749,"retaining wall sorry one's painful well direction head way one thing think discussions johnson county public works project currently bidding","wind","river wyandotte street river bridge notified us last year last summer sometime annual inspections expansion joint come south side major","wind","2919252","Missouri","De Soto city","MUNICIPAL COUNCIL","yFWkJMHYTsw","2020","02","20","29099","Jefferson County","29","099"
"text72510",5170,5170,"hold went happy 2g note apply might frank question definitely frank question drift back 2e first physical modifications want put","wind","turbine want stuff storage need engineer turn structure put electric regardless kind electric word yes modification trying turn structure going","wind","0412840","Arizona","Chino Valley town","MUNICIPAL COUNCIL","PkQXFR4MVY0","2021","04","20","04025","Yavapai County","04","025"
"text83355",1369,1369,"fly-in think responsible kitty corner might say big job offer lunch learn month next one friday october 6th tough conversations","wind","river heritage center first responders breakfast julie kim hummel terry heard others james bunker taking donations october 28th providing ichiban","wind","5666220","Wyoming","Riverton city","MUNICIPAL COUNCIL","jcR7U5CUmng","2023","09","19","56013","Fremont County","56","013"
"text80114",2400,2400,"sticks discussion sirens towers volume anything well probably point clarity know siren sounded tornado excuse severe thunderstorm warning yesterday yesterday","tornado","warning using siren severe thunderstorm warnings wife thought tornado everybody basement seen funnels clouds guess potentially know home know thunderstorms","wind","4959390","Utah","Perry city","MUNICIPAL COUNCIL","Y1WpQrJXM2k","2022","08","04","49003","Box Elder County","49","003"
"text46434",6566,6566,"things asked committee develop type predictability calendar hoping another winner last winter prior implementing calendar two cold winters close school","wind","chill frigid cold two years went well june think important board recognize many many parents going june make plans june","wind","5522300","Wisconsin","Eau Claire city","SCHOOL BOARD","rMND3FS9Qto","2019","06","03","55035","Eau Claire County","55","035"
"text41055",2637,2637,"combined lease fire trucks police department body vest can pay million dollars capital projects fund pay back due new front","wind","area revenue year last year sitting last year actually afford next year right now loan payback water sewer words owe","wind","2806220","Mississippi","Biloxi city","MUNICIPAL COUNCIL","2MIRiirfMc4","2019","08","12","28047","Harrison County","28","047"
"text99820",3454,3454,"problem one year 2010 11 five million dollars taxes yield judgments real problem one township repeal judgments england get back","wind","goes school districts vast majority package county yet township responsible fully funding harvey refund perspective greatly benefited taxpayers keeping municipal","wind","3445990","New Jersey","Middletown township","COMMITTEE","Tj90pyAaw1s","2018","02","05","34025","Monmouth County","34","025"
"text96655",2599,2599,"ask concerned roads though anyway gotta probably going come road use agreement got one office troy send guys well know","wind","turbine stuff going enough part world kind road use agreement recommend board look reimbursing district roads mean cody got wind","wind","4040083","Oklahoma","Logan County","COUNTY BOARD","FHURdP6neJg","2022","01","31","40083","Logan County","40","083"
"text57348",2226,2226,"help knowing chain department call first can galvanize volunteers even know structure going think helpful emergency planning absolutely yes used","tornado","right right know love absolutely use guide follow-up meeting today six months tornado meeting know councilmember vercher leading ironically couple","wind","4752006","Tennessee","Nashville-Davidson metropolitan government (balance)","MUNICIPAL COUNCIL","W7oMwDj7pME","2020","09","10","47037","Davidson County","47","037"
"text10803",1631,1631,"] end project big help residents use walkers [ 4 second ] canes thought man hundred yard dash south end","tornado","[ 4 second ] shelter overwhelm everyone actually believe room neighbors tornado shelters activity center [ 7 second ] small","wind","4055000","Oklahoma","Oklahoma City city","MUNICIPAL COUNCIL","FzyUTi-gOoM","2015","10","06","40109","Oklahoma County","40","109"
"text69852",1617,1617,"happened spent time front porch went said 2030 plan deviating 2030 plan needs something needs major getting talking ward fact","tornado","disrupted everything changed parameters thing convinced reasonable change 2030 plan tornado disrupted structures think it'd reasonable keep fact lot devastation","wind","4716920","Tennessee","Cookeville city","MUNICIPAL COUNCIL","G02bm7Z1KMw","2021","04","15","47141","Putnam County","47","141"
"text37690",2072,2072,"approach cost-efficient challenge think [ 4 second ] came approach [ 5 second ] simple cost-effective may able beat solar","wind","confident [ 4 second ] hundred times heavy wind volume water versus [ 9 second ] air moving speed cannonball","wind","0654806","California","Pacifica city","MUNICIPAL COUNCIL","GcSrxN7KCCo","2019","01","28","06081","San Mateo County","06","081"
"text82744",2034,2034,"know study wrong going couple low-income housing going dominion provide study grid usage understand government wants go wind solar way","wind","going kill fishing commercial fishing industry around vote also look want become california want rolling blackouts neighborhood want live 78","wind","3745880","North Carolina","Nags Head town","BOARD OF COMMISSIONERS","z2iDaBSdOUg","2022","10","05","37055","Dare County","37","055"
"text94716",804,804,"concern wind energy easement agreement states ice throw risk associated industrial wind turbines february 24th 2018 wind turbines bent tree","wind","farm fremont county minnesota shut due safety concerns semi traveling highway 13 damaged ice throw wind turbine truck cellphone ice","wind","5555035","Wisconsin","Eau Claire County","COUNTY BOARD","SqwkLhI_nZo","2020","01","21","55035","Eau Claire County","55","035"
"text93138",352,352,"keep children home make sure safe wreath important years kind work want want come back temp next person want recognize","wind","burns green 30 years well 30 years service north carolina variety roles worked mental health several years worked guilford social","wind","3737147","North Carolina","Pitt County","OTHER BOARD","_g1ngMBj8r8","2019","12","10","37147","Pitt County","37","147"
"text99790",3091,3091,"o'clock drills little hole open open lateral post video inspection prove owner know services opened everybody's flowing open opening smooth","wind","fluid getting clogged done rotary bit machine smooths edges another boiled paper forget talk anything know come long way slip","wind","3433300","New Jersey","Howell township","PLANNING/ZONING BOARD/COMMISSION","VCM-k9SDTYo","2018","02","12","34025","Monmouth County","34","025"
"text44922",786,786,"day forward . may road rise meet forward . may road rise meet forward . may road rise meet may","wind","always may road rise meet may wind always may road rise meet may wind always back . may wind always","wind","4752006","Tennessee","Nashville-Davidson metropolitan government (balance)","MUNICIPAL COUNCIL","mX1zGg3gDy4","2019","03","05","47037","Davidson County","47","037"
