"","transcript_year","state_name","n"
"323","2018","Maryland",19
"324","2018","Massachusetts",584
"325","2018","Michigan",668
"326","2018","Minnesota",671
"327","2018","Mississippi",47
"328","2018","Missouri",380
"329","2018","Montana",50
"330","2018","Nebraska",239
"331","2018","Nevada",21
"332","2018","New Hampshire",259
"333","2018","New Jersey",474
"334","2018","New Mexico",69
"335","2018","New York",281
"336","2018","North Carolina",633
"337","2018","North Dakota",2
"338","2018","Ohio",593
"339","2018","Oklahoma",350
"340","2018","Oregon",451
"341","2018","Pennsylvania",127
"342","2018","Rhode Island",24
"343","2018","South Carolina",159
"344","2018","South Dakota",727
"345","2018","Tennessee",353
"346","2018","Texas",508
"347","2018","Utah",235
"348","2018","Vermont",89
"349","2018","Virginia",196
"350","2018","Washington",348
"351","2018","West Virginia",5
"352","2018","Wisconsin",309
"353","2018","Wyoming",54
"354","2019","Alabama",437
"355","2019","Arizona",162
"356","2019","Arkansas",88
"357","2019","California",1588
"358","2019","Colorado",119
"359","2019","Connecticut",62
"360","2019","Florida",68
"361","2019","Georgia",72
"362","2019","Idaho",160
"363","2019","Illinois",587
"364","2019","Indiana",63
"365","2019","Iowa",168
"366","2019","Kansas",32
"367","2019","Kentucky",42
"368","2019","Maine",86
"369","2019","Maryland",18
"370","2019","Massachusetts",526
"371","2019","Michigan",583
"372","2019","Minnesota",727
"373","2019","Mississippi",292
"374","2019","Missouri",476
"375","2019","Montana",34
"376","2019","Nebraska",143
"377","2019","Nevada",9
"378","2019","New Hampshire",171
"379","2019","New Jersey",454
"380","2019","New Mexico",35
"381","2019","New York",256
"382","2019","North Carolina",601
"383","2019","Ohio",666
"384","2019","Oklahoma",321
"385","2019","Oregon",405
"386","2019","Pennsylvania",140
"387","2019","Rhode Island",13
"388","2019","South Carolina",118
"389","2019","South Dakota",733
"390","2019","Tennessee",405
"391","2019","Texas",541
"392","2019","Utah",271
"393","2019","Vermont",71
"394","2019","Virginia",195
"395","2019","Washington",303
"396","2019","West Virginia",27
"397","2019","Wisconsin",285
"398","2019","Wyoming",48
"399","2020","Alabama",452
"400","2020","Arizona",239
"401","2020","Arkansas",69
"402","2020","California",2023
"403","2020","Colorado",143
"404","2020","Connecticut",64
"405","2020","Florida",76
"406","2020","Georgia",109
"407","2020","Idaho",213
"408","2020","Illinois",611
"409","2020","Indiana",74
"410","2020","Iowa",189
"411","2020","Kansas",45
"412","2020","Kentucky",27
"413","2020","Louisiana",1
"414","2020","Maine",121
"415","2020","Maryland",6
"416","2020","Massachusetts",787
"417","2020","Michigan",636
"418","2020","Minnesota",638
"419","2020","Mississippi",132
"420","2020","Missouri",562
"421","2020","Montana",10
"422","2020","Nebraska",141
"423","2020","Nevada",30
"424","2020","New Hampshire",143
"425","2020","New Jersey",649
"426","2020","New Mexico",77
"427","2020","New York",288
"428","2020","North Carolina",854
"429","2020","Ohio",702
"430","2020","Oklahoma",451
"431","2020","Oregon",511
"432","2020","Pennsylvania",205
"433","2020","Rhode Island",20
"434","2020","South Carolina",177
"435","2020","South Dakota",701
"436","2020","Tennessee",687
"437","2020","Texas",466
"438","2020","Utah",346
"439","2020","Vermont",154
"440","2020","Virginia",186
"441","2020","Washington",365
"442","2020","West Virginia",34
"443","2020","Wisconsin",429
"444","2020","Wyoming",39
"445","2021","Alabama",497
"446","2021","Arizona",206
"447","2021","Arkansas",91
"448","2021","California",1562
"449","2021","Colorado",227
"450","2021","Connecticut",55
"451","2021","Florida",79
"452","2021","Georgia",125
"453","2021","Idaho",159
"454","2021","Illinois",637
"455","2021","Indiana",58
"456","2021","Iowa",144
"457","2021","Kansas",44
"458","2021","Kentucky",20
"459","2021","Maine",79
"460","2021","Maryland",18
"461","2021","Massachusetts",779
"462","2021","Michigan",656
"463","2021","Minnesota",507
"464","2021","Mississippi",175
"465","2021","Missouri",602
"466","2021","Montana",42
"467","2021","Nebraska",166
"468","2021","Nevada",68
"469","2021","New Hampshire",173
"470","2021","New Jersey",792
"471","2021","New Mexico",129
"472","2021","New York",238
"473","2021","North Carolina",785
"474","2021","Ohio",798
"475","2021","Oklahoma",334
"476","2021","Oregon",539
"477","2021","Pennsylvania",177
"478","2021","Rhode Island",43
"479","2021","South Carolina",130
"480","2021","South Dakota",721
"481","2021","Tennessee",673
"482","2021","Texas",544
"483","2021","Utah",296
"484","2021","Vermont",249
"485","2021","Virginia",298
"486","2021","Washington",431
"487","2021","West Virginia",24
"488","2021","Wisconsin",454
"489","2021","Wyoming",28
"490","2022","Alabama",398
"491","2022","Arizona",180
"492","2022","Arkansas",76
"493","2022","California",1170
"494","2022","Colorado",285
"495","2022","Connecticut",42
"496","2022","Florida",91
"497","2022","Georgia",126
"498","2022","Idaho",94
"499","2022","Illinois",567
"500","2022","Indiana",43
"501","2022","Iowa",76
"502","2022","Kansas",44
"503","2022","Kentucky",19
"504","2022","Maine",89
"505","2022","Maryland",14
"506","2022","Massachusetts",550
"507","2022","Michigan",608
"508","2022","Minnesota",484
"509","2022","Mississippi",136
"510","2022","Missouri",350
"511","2022","Montana",24
"512","2022","Nebraska",148
"513","2022","Nevada",78
"514","2022","New Hampshire",100
"515","2022","New Jersey",692
"516","2022","New Mexico",138
"517","2022","New York",239
"518","2022","North Carolina",792
"519","2022","Ohio",535
"520","2022","Oklahoma",286
"521","2022","Oregon",431
"522","2022","Pennsylvania",202
"523","2022","Rhode Island",60
"524","2022","South Carolina",115
"525","2022","South Dakota",641
"526","2022","Tennessee",336
"527","2022","Texas",488
"528","2022","Utah",330
"529","2022","Vermont",180
"530","2022","Virginia",241
"531","2022","Washington",459
"532","2022","West Virginia",29
"533","2022","Wisconsin",356
"534","2022","Wyoming",31
"535","2023","Alabama",119
"536","2023","Arizona",80
"537","2023","Arkansas",16
"538","2023","California",688
"539","2023","Colorado",107
"540","2023","Connecticut",28
"541","2023","Florida",77
"542","2023","Georgia",18
"543","2023","Idaho",40
"544","2023","Illinois",222
"545","2023","Indiana",14
"546","2023","Iowa",38
"547","2023","Kansas",19
"548","2023","Kentucky",23
"549","2023","Maine",75
"550","2023","Maryland",1
"551","2023","Massachusetts",294
"552","2023","Michigan",339
"553","2023","Minnesota",272
"554","2023","Mississippi",25
"555","2023","Missouri",135
"556","2023","Montana",10
"557","2023","Nebraska",91
"558","2023","Nevada",37
"559","2023","New Jersey",314
"560","2023","New Mexico",82
"561","2023","New York",49
"562","2023","North Carolina",438
"563","2023","Ohio",200
"564","2023","Oklahoma",95
"565","2023","Oregon",231
"566","2023","Pennsylvania",109
"567","2023","Rhode Island",53
"568","2023","South Carolina",76
"569","2023","South Dakota",112
"570","2023","Tennessee",49
"571","2023","Texas",260
"572","2023","Utah",185
"573","2023","Virginia",98
"574","2023","Washington",205
"575","2023","West Virginia",20
"576","2023","Wisconsin",102
"577","2023","Wyoming",44
